Equipe,"Nb.
Ete",GoldSummer,SilverSummer,BronzeSummer,TotalSummer,"Nb.
Hiver",GoldWinter,SilverWinte,BonzeWinte,TotalWinte,"Nb.
Jeux",GoldCumul,SilverCumul,BonzeCumul,Total combine
Afghanistan,15,0,0,2,2,0,0,0,0,0,15,0,0,2,2
Afrique du Sud,20,27,33,29,89,7,0,0,0,0,27,27,33,29,89
Algérie,14,5,4,8,17,3,0,0,0,0,17,5,4,8,17
Allemagne,25,285,326,363,974,21,111,109,78,298,46,396,435,441,1272
Allemagne de l'Est,5,153,129,127,409,6,39,36,35,110,11,192,165,162,519
Antilles néerlandaises,13,0,1,0,1,2,0,0,0,0,15,0,1,0,1
Arabie saoudite,12,0,2,2,4,0,0,0,0,0,12,0,2,2,4
Argentine,25,21,26,30,77,19,,0,0,0,44,21,26,30,77
Arménie,7,2,8,8,18,7,0,0,0,0,14,2,8,8,18
Athlètes indépendants,4,1,1,3,5,0,0,0,0,0,4,1,1,3,5
Athlètes olympiques de Russie,0,0,0,0,0,1,2,6,9,17,1,2,6,9,17
Australasie,2,3,4,5,12,0,0,0,0,0,2,3,4,5,12
Australie,27,164,173,210,547,19,5,5,5,15,46,169,178,215,562
Autriche,28,19,34,41,94,23,64,81,87,232,51,83,115,128,326
Azerbaïdjan,7,7,14,28,49,6,0,0,0,0,13,7,14,28,49
Bahamas,17,8,2,6,16,0,0,0,0,0,17,8,2,6,16
Bahreïn,10,2,2,0,4,0,0,0,0,0,10,2,2,0,4
Barbade,13,0,0,1,1,0,0,0,0,0,13,0,0,1,1
Belgique,27,43,54,58,155,21,1,2,3,6,47,44,56,61,161
Bermudes,19,1,0,1,2,8,0,0,0,0,27,1,0,1,2
Biélorussie,7,13,30,42,85,7,8,5,5,18,14,21,35,47,103
Bohême,3,0,1,3,4,0,0,0,0,0,3,0,1,3,4
Botswana,11,0,1,1,2,0,0,0,0,0,11,0,1,1,2
Brésil,23,37,42,71,150,8,0,0,0,0,31,37,42,71,150
Bulgarie,21,54,88,82,224,20,1,2,3,6,41,55,90,85,230
Burkina Faso,10,0,0,1,1,0,0,0,0,0,10,0,0,1,1
Burundi,7,1,1,0,2,0,0,0,0,0,7,1,1,0,2
Cameroun,15,3,1,2,6,1,0,0,0,0,16,3,1,2,6
Canada,27,143,108,147,326,23,73,64,62,199,50,144,172,209,551
Chili,24,2,7,4,13,17,0,0,0,0,41,2,7,4,13
Chine,11,262,199,173,634,11,13,28,21,62,22,275,227,194,696
Chypre,11,0,1,0,1,11,0,0,0,0,22,0,1,0,1
Colombie,20,5,13,16,34,2,0,0,0,0,22,5,13,16,34
Comité olympique de Russie,1,20,28,23,71,0,0,0,0,0,1,20,28,23,71
Corée du Nord,10,16,16,22,54,9,0,1,1,2,19,16,17,23,56
Corée du Sud,18,96,91,100,287,18,31,25,14,70,36,127,116,114,357
Costa Rica,16,1,1,2,4,6,0,0,0,0,22,1,1,2,4
Côte d'Ivoire,14,1,1,2,4,0,0,0,0,0,14,1,1,2,4
Croatie,8,14,13,14,41,8,4,6,1,11,16,18,19,15,52
Cuba,21,85,71,85,241,0,0,0,0,0,21,85,71,85,241
Danemark,28,48,78,79,205,14,0,1,0,1,42,48,79,79,206
Djibouti,9,0,0,1,1,0,0,0,0,0,9,0,0,1,1
Égypte,23,8,11,19,38,1,0,0,0,0,24,8,11,19,38
Empire russe,3,1,4,3,8,0,0,0,0,0,3,1,4,3,8
Émirats arabes unis,10,1,0,1,2,0,0,0,0,0,10,1,0,1,2
Équateur,15,3,2,0,5,1,0,0,0,0,16,3,2,0,5
Équipe mixte,3,8,5,4,17,0,0,0,0,0,3,8,5,4,17
Équipe unifiée de l'ex-URSS,1,45,38,29,112,1,9,6,8,23,2,54,44,37,135
Érythrée,6,0,0,1,1,1,0,0,0,0,7,0,0,1,1
Espagne,24,48,72,47,167,20,1,0,3,4,44,49,72,50,171
Estonie,13,10,9,17,36,10,4,2,1,7,23,14,11,18,43
États-Unis,28,1 070,841,745,2 656,23,105,112,88,305,51,1 175,954,834,2963
Éthiopie,14,23,12,23,58,2,0,0,0,0,16,23,12,23,58
Indes occidentales,1,0,0,2,2,0,0,0,0,0,1,0,0,2,2
Fidji,15,2,0,1,3,3,0,0,0,0,18,2,0,1,3
Finlande,26,101,85,119,305,23,43,63,61,167,48,144,148,180,472
France,29,226,258,280,764,23,36,35,53,124,52,262,293,333,888
Gabon,11,0,1,0,1,0,0,0,0,0,11,0,1,0,1
